,Source_airport,Destination_airport,Routes
2871,Panama,Jamaica,2
2872,Panama,Cuba,2
2873,Panama,Argentina,2
2874,Panama,Aruba,2
2875,Jamaica,Panama,2
2876,Cuba,Panama,2
2877,Cuba,Colombia,2
2878,Argentina,Panama,2
2879,Colombia,Cuba,2
2880,Aruba,Panama,2
2881,Austria,China,2
2882,Israel,China,2
2883,China,Austria,2
2884,China,Israel,2
2885,China,Denmark,2
2886,China,Sweden,2
2887,Denmark,China,2
2888,Thailand,Ethiopia,2
2889,Sweden,China,2
2890,Ethiopia,Thailand,2
2892,Trinidad and Tobago,Suriname,2
2893,Trinidad and Tobago,Venezuela,2
2894,Suriname,Trinidad and Tobago,2
2895,Venezuela,Trinidad and Tobago,2
2896,Italy,Mexico,2
2897,Poland,Latvia,2
2898,Austria,Latvia,2
2899,Uzbekistan,Latvia,2
2900,Latvia,Poland,2
2901,Latvia,Austria,2
2902,Latvia,Uzbekistan,2
2903,Latvia,Ukraine,2
2904,Latvia,Turkey,2
2905,Latvia,Netherlands,2
2906,Ukraine,Latvia,2
2907,Turkey,Latvia,2
2908,Netherlands,Latvia,2
2909,Taiwan,Cambodia,2
2910,Taiwan,Guam,2
2911,Cambodia,Taiwan,2
2912,Guam,Taiwan,2
2913,Kenya,Botswana,2
2914,Botswana,Kenya,2
2915,Nepal,Bahrain,2
2916,Sudan,Bahrain,2
2917,Lebanon,Bahrain,2
2918,Bahrain,Nepal,2
2919,Bahrain,Sudan,2
2920,Bahrain,Lebanon,2
2921,Singapore,Brunei,2
2922,Hong Kong,Brunei,2
2923,Brunei,Singapore,2
2924,Brunei,Hong Kong,2
2925,Brunei,Thailand,2
2926,Thailand,Brunei,2
2927,Singapore,Bangladesh,2
2928,Oman,Bangladesh,2
2929,Kuwait,Bangladesh,2
2930,Bangladesh,Singapore,2
2931,Bangladesh,Kuwait,2
2932,Bangladesh,Qatar,2
2933,Bangladesh,Oman,2
2934,Jersey,Guernsey,2
2935,Georgia,Azerbaijan,2
2936,Oman,United Kingdom,2
2937,United Kingdom,Oman,2
2938,United Kingdom,Kazakhstan,2
2939,United Kingdom,Ethiopia,2
2940,Azerbaijan,Georgia,2
2941,Lebanon,Ethiopia,2
2942,India,Kazakhstan,2
2943,Kazakhstan,United Kingdom,2
2944,Kazakhstan,India,2
2945,Ethiopia,United Kingdom,2
2946,Ethiopia,Lebanon,2
2947,Saint Lucia,Trinidad and Tobago,2
2948,Saint Lucia,United Kingdom,2
2949,Albania,United Kingdom,2
2950,Albania,Hungary,2
2951,El Salvador,Spain,2
2952,Dominican Republic,Antigua and Barbuda,2
2953,Trinidad and Tobago,Saint Lucia,2
2954,Mauritius,United Kingdom,2
2955,United Kingdom,Angola,2
2956,United Kingdom,Kuwait,2
2957,United Kingdom,Ghana,2
2958,United Kingdom,Saint Lucia,2
2959,United Kingdom,Albania,2
2960,United Kingdom,Mauritius,2
2961,United Kingdom,Maldives,2
2962,United Kingdom,Antigua and Barbuda,2
2963,Angola,United Kingdom,2
2964,Kuwait,United Kingdom,2
2965,Grenada,Barbados,2
2966,Hungary,Albania,2
2967,Barbados,Grenada,2
2968,Antigua and Barbuda,United Kingdom,2
2969,Ghana,United Kingdom,2
2970,Poland,Belarus,2
2971,Austria,Belarus,2
2972,Latvia,Belarus,2
2973,Czech Republic,Belarus,2
2974,Belarus,Poland,2
2975,Belarus,Austria,2
2976,Belarus,Latvia,2
2977,Belarus,Czech Republic,2
2978,Belarus,Ukraine,2
2979,Belarus,Turkey,2
2980,Belarus,Azerbaijan,2
2981,Belarus,Italy,2
2982,Belarus,Georgia,2
2983,Ukraine,Belarus,2
2984,Turkey,Belarus,2
2985,Azerbaijan,Belarus,2
2986,Italy,Belarus,2
2987,Georgia,Belarus,2
2988,Canada,Italy,2
2989,Taiwan,India,2
2990,Panama,Netherlands,2
2991,Peru,Netherlands,2
2992,Kuwait,Italy,2
2993,Malaysia,Italy,2
2994,South Korea,Italy,2
2995,Italy,Canada,2
2996,Italy,Kuwait,2
2997,Italy,Malaysia,2
2998,Italy,South Korea,2
2999,India,Taiwan,2
3000,Netherlands,Panama,2
3001,Netherlands,Peru,2
3002,Lithuania,Finland,2
3003,Czech Republic,Finland,2
3004,Belarus,Finland,2
3005,Iceland,Finland,2
3006,Ukraine,Finland,2
3007,Finland,Lithuania,2
3008,Finland,Czech Republic,2
3009,Finland,Belarus,2
3010,Finland,Iceland,2
3011,Finland,Ukraine,2
3012,Finland,United Arab Emirates,2
3013,Finland,Hungary,2
3014,United Arab Emirates,Finland,2
3015,Hungary,Finland,2
3016,Chile,Colombia,2
3017,El Salvador,Belize,2
3018,El Salvador,Colombia,2
3019,Dominican Republic,Colombia,2
3020,Germany,Colombia,2
3021,Belize,El Salvador,2
3022,Colombia,Chile,2
3023,Colombia,El Salvador,2
3024,Colombia,Dominican Republic,2
3025,Colombia,Germany,2
3026,Equatorial Guinea,Gabon,2
3027,Liberia,Sierra Leone,2
3028,Guinea-Bissau,Gambia,2
3029,Mauritania,Morocco,2
3030,Togo,Benin,2
3031,Togo,Ghana,2
3032,Gabon,Equatorial Guinea,2
3033,United States,Morocco,2
3034,Saudi Arabia,Morocco,2
3035,Switzerland,Morocco,2
3036,Sierra Leone,Liberia,2
3038,Cameroon,Morocco,2
3039,Benin,Togo,2
3040,Morocco,Guinea-Bissau,2
3041,Morocco,Mauritania,2
3042,Morocco,United States,2
3043,Morocco,Saudi Arabia,2
3044,Morocco,Switzerland,2
3045,Morocco,Cameroon,2
3046,Morocco,Egypt,2
3047,Morocco,Congo (Kinshasa),2
3048,Egypt,Morocco,2
3049,Congo (Kinshasa),Morocco,2
3050,Italy,Argentina,2
3051,Argentina,Italy,2
3052,Argentina,Venezuela,2
3053,Argentina,Colombia,2
3054,Venezuela,Argentina,2
3055,Colombia,Argentina,2
3056,Mexico,Japan,2
3057,Nicaragua,Panama,2
3058,Mexico,Brazil,2
3059,Brazil,Mexico,2
3060,Argentina,Mexico,2
3061,Japan,India,2
3062,United Kingdom,Algeria,2
3063,Turkey,Algeria,2
3064,Germany,Algeria,2
3065,Morocco,Algeria,2
3066,Egypt,Algeria,2
3067,Algeria,United Kingdom,2
3068,Algeria,Turkey,2
3069,Algeria,Germany,2
3070,Algeria,Morocco,2
3071,Algeria,Egypt,2
3072,Dominican Republic,Martinique,2
3073,Chile,France,2
3074,Guadeloupe,Haiti,2
3075,Haiti,Guadeloupe,2
3076,France,French Guiana,2
3077,Kenya,France,2
3078,Angola,France,2
3079,Ukraine,France,2
3080,Comoros,Kenya,2
3081,Ecuador,Netherlands,2
3082,Azerbaijan,France,2
3083,Martinique,French Guiana,2
3084,Armenia,France,2
3085,France,Chile,2
3086,France,Kenya,2
3087,France,Angola,2
3088,France,Ukraine,2
3089,France,Azerbaijan,2
3090,France,Armenia,2
3091,France,Congo (Kinshasa),2
3092,France,Mali,2
3093,France,Serbia,2
3094,France,Cote d'Ivoire,2
3095,French Guiana,France,2
3096,French Guiana,Martinique,2
3097,Congo (Kinshasa),France,2
3098,Serbia,France,2
3099,Netherlands,Ecuador,2
3100,Jordan,France,2
3101,Cote d'Ivoire,France,2
3102,Canada,Poland,2
3103,Canada,Israel,2
3104,Canada,Brazil,2
3105,Canada,Grenada,2
3106,Canada,Cayman Islands,2
3107,Canada,Colombia,2
3108,Canada,Bermuda,2
3109,Canada,New Zealand,2
3110,Canada,Antigua and Barbuda,2
3111,Poland,Canada,2
3112,Israel,Canada,2
3113,Brazil,Canada,2
3114,Grenada,Canada,2
3115,Cayman Islands,Canada,2
3116,Colombia,Canada,2
3117,Bermuda,Canada,2
3118,Antigua and Barbuda,Canada,2
3119,New Zealand,Canada,2
3120,Namibia,Germany,2
3121,Germany,Namibia,2
3122,Jamaica,Germany,2
3123,Iraq,Germany,2
3124,Germany,Jamaica,2
3125,Germany,Iraq,2
3126,Fiji,Samoa,2
3127,United States,Finland,2
3128,Finland,United States,2
3129,Samoa,United States,2
3130,Austria,Georgia,2
3131,Georgia,Austria,2
3132,Georgia,Latvia,2
3133,Georgia,Germany,2
3134,Georgia,United Arab Emirates,2
3135,Latvia,Georgia,2
3136,Germany,Georgia,2
3137,United Arab Emirates,Georgia,2
3139,Austria,Greece,2
3140,Israel,Greece,2
3141,Portugal,Greece,2
3142,Denmark,Greece,2
3143,Greece,Austria,2
3144,Greece,Israel,2
3145,Greece,Portugal,2
3146,Greece,Denmark,2
3147,Kenya,India,2
3148,India,Kenya,2
3149,Austria,Moldova,2
3150,Moldova,Austria,2
3151,Moldova,Ukraine,2
3152,Moldova,Germany,2
3153,Ukraine,Moldova,2
3154,Germany,Moldova,2
3155,Puerto Rico,Saint Kitts and Nevis,2
3156,Saint Kitts and Nevis,Puerto Rico,2
3157,Sudan,Chad,2
3159,Sao Tome and Principe,Portugal,2
3160,Portugal,Sao Tome and Principe,2
3161,Dominican Republic,Cuba,2
3162,Puerto Rico,Netherlands Antilles,2
3163,Colombia,Netherlands Antilles,2
3164,Jamaica,Netherlands Antilles,2
3165,Netherlands Antilles,Colombia,2
3166,Netherlands Antilles,Jamaica,2
3167,Djibouti,Somalia,2
3168,Djibouti,United Arab Emirates,2
3169,United Arab Emirates,Somalia,2
3170,Somalia,Djibouti,2
3171,Bolivia,United States,2
3172,Bolivia,Paraguay,2
3173,United States,Bolivia,2
3174,Paraguay,Bolivia,2
3175,Philippines,Brunei,2
3176,Brunei,Philippines,2
3177,Bosnia and Herzegovina,Germany,2
3178,Germany,Bosnia and Herzegovina,2
3179,Switzerland,Macedonia,2
3180,Macedonia,Switzerland,2
3181,Turkey,Tajikistan,2
3182,Tajikistan,Turkey,2
3183,Tajikistan,United Arab Emirates,2
3184,United Arab Emirates,Tajikistan,2
3185,Nepal,Bangladesh,2
3186,Northern Mariana Islands,China,2
3187,China,Northern Mariana Islands,2
3188,Dominican Republic,Guadeloupe,2
3189,Dominican Republic,Haiti,2
3190,Haiti,Dominican Republic,2
3191,Colombia,Aruba,2
3192,Aruba,Colombia,2
3193,Burkina Faso,Togo,2
3194,Togo,Burkina Faso,2
3196,Switzerland,Montenegro,1
3197,Montenegro,Switzerland,1
3198,Montenegro,Germany,1
3199,Montenegro,Italy,1
3200,Montenegro,Denmark,1
3201,Montenegro,France,1
3202,Germany,Montenegro,1
3203,Italy,Montenegro,1
3204,Denmark,Montenegro,1
3205,France,Montenegro,1
3206,Virgin Islands,British Virgin Islands,1
3207,British Virgin Islands,Virgin Islands,1
3208,Netherlands Antilles,Dominica,1
3209,British Virgin Islands,Dominica,1
3210,Somalia,Yemen,1
3211,Cape Verde,Germany,1
3212,Germany,Cape Verde,1
3213,Switzerland,Oman,1
3214,Italy,Oman,1
3215,Maldives,Oman,1
3216,Oman,Switzerland,1
3217,Oman,Italy,1
3218,Oman,Maldives,1
3219,Oman,Nepal,1
3220,Oman,France,1
3221,Oman,Thailand,1
3222,Oman,Lebanon,1
3223,Nepal,Oman,1
3224,Tanzania,Oman,1
3225,France,Oman,1
3226,Thailand,Oman,1
3227,Lebanon,Oman,1
3228,Nigeria,Rwanda,1
3229,Rwanda,Nigeria,1
3230,Rwanda,South Africa,1
3231,Rwanda,United Arab Emirates,1
3232,Rwanda,Congo (Kinshasa),1
3233,Rwanda,Belgium,1
3234,South Africa,Rwanda,1
3235,United Arab Emirates,Rwanda,1
3236,Congo (Kinshasa),Rwanda,1
3237,Macedonia,United Kingdom,1
3238,United Kingdom,Macedonia,1
3239,Iran,Kazakhstan,1
3240,Kazakhstan,Iran,1
3241,Nigeria,Angola,1
3242,Nigeria,Sierra Leone,1
3243,Nigeria,Senegal,1
3244,Angola,Nigeria,1
3245,Sierra Leone,Nigeria,1
3246,Senegal,Nigeria,1
3247,Canada,Ukraine,1
3248,Lithuania,Ukraine,1
3249,Vietnam,Ukraine,1
3250,Cyprus,Ukraine,1
3251,Ukraine,Canada,1
3252,Ukraine,Lithuania,1
3253,Ukraine,Vietnam,1
3254,Ukraine,Cyprus,1
3255,Ukraine,United States,1
3256,Ukraine,Sri Lanka,1
3257,Ukraine,Greece,1
3258,Ukraine,Sweden,1
3259,United States,Ukraine,1
3260,Sri Lanka,Ukraine,1
3261,Greece,Ukraine,1
3262,Sweden,Ukraine,1
3263,Cook Islands,French Polynesia,1
3264,French Polynesia,Cook Islands,1
3265,Trinidad and Tobago,United Kingdom,1
3266,United Kingdom,Trinidad and Tobago,1
3267,Cape Verde,Netherlands,1
3268,Cape Verde,United States,1
3269,Brazil,Cape Verde,1
3270,United States,Cape Verde,1
3271,Netherlands,Cape Verde,1
3272,Sao Tome and Principe,Gabon,1
3273,Sao Tome and Principe,Cameroon,1
3274,Gabon,Sao Tome and Principe,1
3275,Cameroon,Sao Tome and Principe,1
3276,Senegal,Benin,1
3277,Benin,Senegal,1
3278,Gambia,Ghana,1
3279,Ghana,Gambia,1
3280,Saint Vincent and the Grenadines,Dominica,1
3281,Venezuela,Saint Vincent and the Grenadines,1
3282,Venezuela,Grenada,1
3283,Grenada,Venezuela,1
3284,Dominica,Venezuela,1
3285,Syria,Venezuela,1
3286,Venezuela,Syria,1
3287,Australia,Reunion,1
3288,Seychelles,Reunion,1
3289,Reunion,Australia,1
3290,Reunion,Seychelles,1
3291,Reunion,Comoros,1
3292,Reunion,Mayotte,1
3293,Reunion,Thailand,1
3294,Comoros,Reunion,1
3295,Mayotte,Reunion,1
3296,Mayotte,France,1
3297,Thailand,Reunion,1
3298,Bahamas,Cuba,1
3299,Cuba,Bahamas,1
3300,Canada,Russia,1
3301,Lithuania,Russia,1
3302,Seychelles,Russia,1
3303,Tunisia,Russia,1
3304,Mauritius,Russia,1
3305,Malaysia,Russia,1
3306,Russia,Canada,1
3307,Russia,Lithuania,1
3308,Russia,Seychelles,1
3309,Russia,Tunisia,1
3310,Russia,Mauritius,1
3311,Russia,Malaysia,1
3312,Zambia,Congo (Kinshasa),1
3313,United Kingdom,Zimbabwe,1
3314,Malaysia,Zimbabwe,1
3315,Zimbabwe,United Kingdom,1
3316,Zimbabwe,Malaysia,1
3317,Zimbabwe,Congo (Kinshasa),1
3318,Congo (Kinshasa),Zimbabwe,1
3319,Japan,Maldives,1
3320,Japan,Sri Lanka,1
3321,United Kingdom,Sri Lanka,1
3322,Germany,Sri Lanka,1
3323,Italy,Sri Lanka,1
3324,Sri Lanka,Japan,1
3325,Sri Lanka,Italy,1
3326,Sri Lanka,United Kingdom,1
3327,Sri Lanka,Germany,1
3328,Sri Lanka,France,1
3329,France,Sri Lanka,1
3330,Tunisia,Malta,1
3331,Malta,Tunisia,1
3332,Ukraine,Iran,1
3333,Ukraine,Lebanon,1
3334,Iran,Ukraine,1
3335,Lebanon,Ukraine,1
3336,Georgia,Armenia,1
3337,Cyprus,Armenia,1
3338,Turkey,Armenia,1
3339,Armenia,Georgia,1
3340,Armenia,Cyprus,1
3341,Armenia,Lebanon,1
3342,Armenia,Greece,1
3343,Lebanon,Armenia,1
3344,Greece,Armenia,1
3345,South Sudan,Uganda,1
3346,Uganda,South Sudan,1
3347,United Kingdom,Slovenia,1
3348,Slovenia,United Kingdom,1
3349,Guadeloupe,French Guiana,1
3350,Haiti,France,1
3351,France,Haiti,1
3352,Cuba,Martinique,1
3353,Martinique,Dominican Republic,1
3354,Martinique,Cuba,1
3355,French Guiana,Brazil,1
3356,Brazil,French Guiana,1
3357,Austria,Tunisia,1
3358,Tunisia,Austria,1
3359,Tunisia,Mauritania,1
3360,Tunisia,Portugal,1
3361,Tunisia,Kuwait,1
3362,Tunisia,Senegal,1
3363,Tunisia,Mali,1
3364,Tunisia,Serbia,1
3365,Tunisia,Greece,1
3366,Tunisia,Netherlands,1
3367,Tunisia,Cote d'Ivoire,1
3368,Mauritania,Tunisia,1
3369,Portugal,Tunisia,1
3370,Kuwait,Tunisia,1
3371,Senegal,Tunisia,1
3372,Mali,Tunisia,1
3373,Serbia,Tunisia,1
3374,Greece,Tunisia,1
3375,Netherlands,Tunisia,1
3376,Cote d'Ivoire,Tunisia,1
3377,Czech Republic,Portugal,1
3378,Guinea-Bissau,Portugal,1
3379,Portugal,Czech Republic,1
3380,Portugal,Guinea-Bissau,1
3381,Portugal,Finland,1
3382,Portugal,Russia,1
3383,Portugal,Senegal,1
3384,Portugal,Hungary,1
3385,Portugal,Mali,1
3386,Portugal,Algeria,1
3387,Portugal,Ghana,1
3388,Finland,Portugal,1
3389,Russia,Portugal,1
3390,Senegal,Portugal,1
3391,Hungary,Portugal,1
3392,Mali,Portugal,1
3393,Algeria,Portugal,1
3394,Ghana,Portugal,1
3395,Mozambique,Tanzania,1
3396,Tanzania,Mozambique,1
3397,Canada,Turkey,1
3398,Israel,Turkey,1
3399,Albania,Turkey,1
3400,Montenegro,Turkey,1
3401,Bulgaria,Turkey,1
3402,Czech Republic,Turkey,1
3403,Oman,Turkey,1
3404,Nigeria,Turkey,1
3405,Kuwait,Turkey,1
3406,Sudan,Turkey,1
3407,South Africa,Turkey,1
3408,Turkey,Canada,1
3409,Turkey,Israel,1
3410,Turkey,Albania,1
3411,Turkey,Montenegro,1
3412,Turkey,Bulgaria,1
3413,Turkey,Czech Republic,1
3414,Turkey,Oman,1
3415,Turkey,Nigeria,1
3416,Turkey,Kuwait,1
3417,Turkey,Sudan,1
3418,Turkey,South Africa,1
3419,Turkey,Hong Kong,1
3420,Turkey,Finland,1
3421,Turkey,Brazil,1
3422,Turkey,Uganda,1
3423,Turkey,Ireland,1
3424,Turkey,Tanzania,1
3425,Turkey,Ghana,1
3426,Hong Kong,Turkey,1
3427,Finland,Turkey,1
3428,Brazil,Turkey,1
3429,Uganda,Turkey,1
3430,Ireland,Turkey,1
3431,Senegal,Turkey,1
3432,Tanzania,Turkey,1
3433,Ghana,Turkey,1
3434,Virgin Islands,France,1
3435,Puerto Rico,France,1
3436,France,Virgin Islands,1
3437,France,Puerto Rico,1
3438,Norway,Thailand,1
3439,United States,Thailand,1
3440,Belgium,Thailand,1
3441,Thailand,Norway,1
3442,Thailand,United States,1
3443,Thailand,Belgium,1
3444,Thailand,Sweden,1
3445,Sweden,Thailand,1
3446,El Salvador,Cuba,1
3447,El Salvador,Ecuador,1
3448,Uruguay,Peru,1
3449,Peru,Uruguay,1
3450,Peru,Cuba,1
3451,Peru,Paraguay,1
3452,Cuba,El Salvador,1
3453,Cuba,Peru,1
3454,Ecuador,El Salvador,1
3455,Paraguay,Peru,1
3456,Germany,Turkmenistan,1
3457,Turkmenistan,Germany,1
3458,Namibia,Botswana,1
3459,Namibia,Zambia,1
3460,Namibia,Ghana,1
3461,Zimbabwe,Namibia,1
3462,Botswana,Zimbabwe,1
3463,Zambia,Namibia,1
3464,Ghana,Namibia,1
3465,Singapore,Saudi Arabia,1
3466,Saudi Arabia,Singapore,1
3467,Saudi Arabia,Nepal,1
3468,Saudi Arabia,China,1
3469,Iran,Saudi Arabia,1
3470,Nepal,Saudi Arabia,1
3471,South Africa,Saudi Arabia,1
3472,Saudi Arabia,South Africa,1
3473,Saudi Arabia,Iran,1
3474,China,Saudi Arabia,1
3475,Croatia,Russia,1
3476,Russia,Croatia,1
3477,Russia,Sri Lanka,1
3478,Russia,Lebanon,1
3479,Angola,Egypt,1
3480,Egypt,Angola,1
3481,Sri Lanka,Russia,1
3482,Lebanon,Russia,1
3483,Netherlands Antilles,Guadeloupe,1
3484,Netherlands Antilles,Martinique,1
3485,France,Mayotte,1
3486,Singapore,Maldives,1
3487,Maldives,Singapore,1
3488,Senegal,Belgium,1
3489,Belgium,Senegal,1
3490,Romania,Denmark,1
3491,Luxembourg,Denmark,1
3492,Denmark,Romania,1
3493,Denmark,Luxembourg,1
3494,Switzerland,Guernsey,1
3495,Jersey,Isle of Man,1
3496,Isle of Man,Jersey,1
3497,Isle of Man,Guernsey,1
3498,Guernsey,Isle of Man,1
3499,Maldives,France,1
3500,France,Maldives,1
3501,Chad,Nigeria,1
3502,Nigeria,Sudan,1
3503,Wallis and Futuna,New Caledonia,1
3504,Wallis and Futuna,Fiji,1
3505,French Polynesia,New Caledonia,1
3506,New Caledonia,Wallis and Futuna,1
3507,New Caledonia,French Polynesia,1
3508,New Caledonia,Fiji,1
3509,Fiji,Wallis and Futuna,1
3510,Fiji,New Caledonia,1
3511,Swaziland,South Africa,1
3512,Lesotho,South Africa,1
3513,Gabon,South Africa,1
3514,South Africa,Swaziland,1
3515,South Africa,Lesotho,1
3516,South Africa,Gabon,1
3517,South Africa,Brazil,1
3518,South Africa,Uganda,1
3519,South Africa,Ghana,1
3520,Brazil,South Africa,1
3521,Uganda,South Africa,1
3522,Ghana,South Africa,1
3523,Romania,United Arab Emirates,1
3524,Romania,Egypt,1
3525,United Arab Emirates,Romania,1
3526,Egypt,Romania,1
3527,Tunisia,Jordan,1
3528,Kenya,Jordan,1
3529,Cyprus,Jordan,1
3530,Sri Lanka,Jordan,1
3531,Belgium,Jordan,1
3532,Greece,Jordan,1
3533,Netherlands,Jordan,1
3534,Jordan,Tunisia,1
3535,Jordan,Kenya,1
3536,Jordan,Cyprus,1
3537,Jordan,Sudan,1
3538,Jordan,Sri Lanka,1
3539,Jordan,Belgium,1
3540,Jordan,Greece,1
3541,Jordan,Netherlands,1
3542,Isle of Man,Ireland,1
3543,Ireland,Isle of Man,1
3544,Iceland,Faroe Islands,1
3545,Faroe Islands,Iceland,1
3546,Austria,Syria,1
3547,Spain,Syria,1
3548,Sudan,Syria,1
3549,Syria,Sweden,1
3550,Germany,Syria,1
3551,Italy,Syria,1
3552,Armenia,Syria,1
3553,Syria,Austria,1
3554,Syria,Spain,1
3555,Syria,Italy,1
3556,Syria,Lebanon,1
3557,Syria,Netherlands,1
3558,Lebanon,Syria,1
3559,Syria,Armenia,1
3560,Syria,Belgium,1
3561,Malaysia,Nepal,1
3562,Nepal,Malaysia,1
3563,Vietnam,Indonesia,1
3564,Indonesia,Vietnam,1
3565,Laos,Singapore,1
3566,Singapore,Laos,1
3567,Canada,Qatar,1
3568,Austria,Qatar,1
3569,Tunisia,Qatar,1
3570,Singapore,Qatar,1
3571,Seychelles,Qatar,1
3572,Romania,Qatar,1
3573,Norway,Qatar,1
3574,Kenya,Qatar,1
3575,Maldives,Qatar,1
3576,Australia,Qatar,1
3577,Nigeria,Qatar,1
3578,Nepal,Qatar,1
3579,South Africa,Qatar,1
3580,Hong Kong,Qatar,1
3581,Brazil,Qatar,1
3582,Uganda,Qatar,1
3583,Qatar,Canada,1
3584,Qatar,Austria,1
3585,Qatar,Tunisia,1
3586,Qatar,Singapore,1
3587,Qatar,Seychelles,1
3588,Qatar,Romania,1
3589,Qatar,Norway,1
3590,Qatar,Kenya,1
3591,Qatar,Maldives,1
3592,Qatar,Australia,1
3593,Qatar,Nigeria,1
3594,Qatar,South Africa,1
3595,Qatar,Hong Kong,1
3596,Qatar,Brazil,1
3597,Qatar,Uganda,1
3598,Qatar,Russia,1
3599,Qatar,Tanzania,1
3600,Qatar,Bangladesh,1
3601,Qatar,Denmark,1
3602,Qatar,Indonesia,1
3603,Qatar,France,1
3604,Qatar,Hungary,1
3605,Qatar,Belgium,1
3606,Qatar,Thailand,1
3607,Qatar,Libya,1
3608,Qatar,Greece,1
3609,Qatar,Sweden,1
3610,Qatar,Algeria,1
3611,Russia,Qatar,1
3612,Tanzania,Qatar,1
3613,Denmark,Qatar,1
3614,Indonesia,Qatar,1
3615,France,Qatar,1
3616,Hungary,Qatar,1
3617,Belgium,Qatar,1
3618,Thailand,Qatar,1
3619,Libya,Qatar,1
3620,Greece,Qatar,1
3621,Sweden,Qatar,1
3622,Algeria,Qatar,1
3623,Tanzania,Malawi,1
3624,Malawi,Tanzania,1
3625,Congo (Brazzaville),Cameroon,1
3626,Cameroon,Congo (Brazzaville),1
3627,Netherlands Antilles,Anguilla,1
3628,Anguilla,Netherlands Antilles,1
3629,Suriname,Brazil,1
3630,Suriname,Aruba,1
3631,Aruba,Suriname,1
3632,Singapore,Papua New Guinea,1
3633,Papua New Guinea,Singapore,1
3634,Papua New Guinea,Japan,1
3635,Papua New Guinea,Philippines,1
3636,Papua New Guinea,Hong Kong,1
3637,Papua New Guinea,Solomon Islands,1
3638,Japan,Papua New Guinea,1
3639,Philippines,Papua New Guinea,1
3640,Hong Kong,Papua New Guinea,1
3641,Solomon Islands,Papua New Guinea,1
3642,Comoros,Tanzania,1
3643,Tanzania,Comoros,1
3644,Canada,Philippines,1
3645,Philippines,Canada,1
3646,Norway,Pakistan,1
3647,Pakistan,Norway,1
3648,Pakistan,Netherlands,1
3649,Nepal,Pakistan,1
3650,Pakistan,Nepal,1
3651,United States,Pakistan,1
3652,Pakistan,Germany,1
3653,Pakistan,Denmark,1
3654,Pakistan,France,1
3655,Germany,Pakistan,1
3656,Denmark,Pakistan,1
3657,Netherlands,Pakistan,1
3658,Maldives,Thailand,1
3659,Thailand,Maldives,1
3660,Lithuania,Estonia,1
3661,Estonia,Lithuania,1
3662,Croatia,Montenegro,1
3663,Croatia,Macedonia,1
3664,Croatia,Bosnia and Herzegovina,1
3665,Croatia,Serbia,1
3666,Croatia,Netherlands,1
3667,Montenegro,Croatia,1
3668,Macedonia,Croatia,1
3669,Bosnia and Herzegovina,Croatia,1
3670,Serbia,Croatia,1
3671,Netherlands,Croatia,1
3672,Lithuania,Austria,1
3673,Austria,Lithuania,1
3674,Austria,Albania,1
3675,Austria,Macedonia,1
3676,Austria,Bosnia and Herzegovina,1
3677,Austria,Maldives,1
3678,Austria,Cyprus,1
3679,Austria,Slovakia,1
3680,Austria,Hungary,1
3681,Albania,Austria,1
3682,Macedonia,Austria,1
3683,Bosnia and Herzegovina,Austria,1
3684,Maldives,Austria,1
3685,Cyprus,Austria,1
3686,Slovakia,Austria,1
3687,Hungary,Austria,1
3688,Dominican Republic,Jamaica,1
3689,Jamaica,Netherlands,1
3690,United Arab Emirates,Bulgaria,1
3691,Sri Lanka,Netherlands,1
3692,Aruba,Netherlands,1
3693,Mongolia,Japan,1
3694,Mongolia,Hong Kong,1
3695,Japan,Mongolia,1
3696,Hong Kong,Mongolia,1
3697,Croatia,Czech Republic,1
3698,Lithuania,Czech Republic,1
3699,Estonia,Czech Republic,1
3700,Georgia,Czech Republic,1
3701,Macedonia,Czech Republic,1
3702,Latvia,Czech Republic,1
3703,Czech Republic,Croatia,1
3704,Czech Republic,Lithuania,1
3705,Czech Republic,Estonia,1
3706,Czech Republic,Georgia,1
3707,Czech Republic,Macedonia,1
3708,Czech Republic,Latvia,1
3709,Czech Republic,Romania,1
3710,Czech Republic,Slovenia,1
3711,Czech Republic,Cyprus,1
3712,Czech Republic,Lebanon,1
3713,Czech Republic,Greece,1
3714,Czech Republic,Kazakhstan,1
3715,Romania,Czech Republic,1
3716,Slovenia,Czech Republic,1
3717,Cyprus,Czech Republic,1
3718,Lebanon,Czech Republic,1
3719,Greece,Czech Republic,1
3720,Kazakhstan,Czech Republic,1
3721,Australia,Cook Islands,1
3722,Cook Islands,Australia,1
3723,Norfolk Island,New Zealand,1
3724,Niue,New Zealand,1
3725,New Zealand,Norfolk Island,1
3726,New Zealand,Niue,1
3727,China,Sri Lanka,1
3728,Sri Lanka,China,1
3729,Kenya,Egypt,1
3730,Malta,Egypt,1
3731,Cyprus,Egypt,1
3732,South Sudan,Egypt,1
3733,Uganda,Egypt,1
3734,Tanzania,Egypt,1
3735,Egypt,Kenya,1
3736,Egypt,Malta,1
3737,Egypt,Cyprus,1
3738,Egypt,South Sudan,1
3739,Egypt,Uganda,1
3740,Egypt,Tanzania,1
3741,Egypt,Hungary,1
3742,Egypt,India,1
3743,Egypt,Eritrea,1
3744,Egypt,Ghana,1
3745,Hungary,Egypt,1
3746,India,Egypt,1
3747,Eritrea,Egypt,1
3748,Ghana,Egypt,1
3749,Mauritius,Hong Kong,1
